YYYY  MM  DD  HH  mn     Hs(m)     Tp(s)  TheH(°N)   WS(m/s)  Thew(°N)
2005   2  13   6   0     2.650     9.380  9999.000    11.323    25.026
2005   2  13   9   0     3.620     8.530  9999.000    14.966   358.354
2005   2  13  12   0     4.340     8.780  9999.000    16.388   352.285
2005   2  13  15   0     4.290     8.980  9999.000    13.311   347.196
2005   2  13  18   0     4.460     8.980  9999.000    11.493   338.458
2005   2  13  21   0     5.310     9.250  9999.000    16.541   337.124
2005   2  14   0   0     6.020    10.120  9999.000    16.874   355.854
2005   2  14   3   0     6.210    10.720  9999.000    15.353     7.824
2005   2  14   6   0     5.940    11.140  9999.000    15.126     7.980
2005   2  14   9   0     5.600    11.290  9999.000    12.507    10.924
2005   2  14  12   0     5.260    11.420  9999.000    13.779    26.509
2005   2  14  15   0     4.820    11.360  9999.000     9.023    33.197
2005   2  14  18   0     4.330    11.160  9999.000     9.746    33.788
2005   2  14  21   0     3.850    10.950  9999.000    11.277    42.304
2005   2  15   0   0     3.430    10.660  9999.000     8.491    47.100
2005   2  15   3   0     3.070    10.130  9999.000     7.117    56.288
2005   2  15   6   0     2.780     9.930  9999.000     7.637    59.204
2005   2  15   9   0     2.550     9.760  9999.000     7.170    55.800
2005   2  15  12   0     2.320     9.440  9999.000     5.224    57.588
2005   2  15  15   0     2.090     9.190  9999.000     3.242    60.430
2005   2  15  18   0     1.830     9.100  9999.000     1.924   164.014
2005   2  15  21   0     1.580     9.030  9999.000     5.603   200.149
2005   2  16   0   0     1.550     8.990  9999.000     9.247   199.062
2005   2  16   3   0     1.810     4.370  9999.000    10.177   202.533
2005   2  16   6   0     2.410     5.340  9999.000    13.481   198.153
2005   2  16   9   0     3.190     6.370  9999.000    15.156   200.025
2005   2  16  12   0     3.780     7.260  9999.000    18.575   200.747
2005   2  16  15   0     4.050     7.780  9999.000    17.911   210.388
2005   2  16  18   0     3.960     8.080  9999.000    15.262   222.291
2005   2  16  21   0     3.870     8.410  9999.000    11.704   251.364
2005   2  17   0   0     4.370    10.990  9999.000     9.798   252.601
2005   2  17   3   0     5.130    12.340  9999.000     9.919   263.226
2005   2  17   6   0     5.310    12.520  9999.000     8.904   262.125
2005   2  17   9   0     5.070    12.860  9999.000     8.575   271.871
2005   2  17  12   0     4.700    12.970  9999.000     6.892   275.496
2005   2  17  15   0     4.280    12.970  9999.000     9.185   261.738
2005   2  17  18   0     3.960    12.930  9999.000    10.478   241.747
2005   2  17  21   0     3.810    12.880  9999.000    11.988   242.152
2005   2  18   0   0     3.880    12.790  9999.000    13.685   233.708
2005   2  18   3   0     4.050    12.520  9999.000    12.914   235.793
2005   2  18   6   0     4.080    12.120  9999.000    10.048   284.230
2005   2  18   9   0     4.100    11.950  9999.000     9.490   293.999
2005   2  18  12   0     4.140    11.850  9999.000    12.360   315.197
2005   2  18  15   0     4.180    11.710  9999.000    13.125   312.221
2005   2  18  18   0     4.240    11.290  9999.000     8.101   322.423
2005   2  18  21   0     4.590     9.450  9999.000    13.255   332.062
2005   2  19   0   0     5.080     9.880  9999.000    14.994   352.335
2005   2  19   3   0     5.320    10.110  9999.000    16.507   345.762
2005   2  19   6   0     5.320    10.380  9999.000    13.900   352.144
2005   2  19   9   0     5.510    10.850  9999.000    13.769   355.710
2005   2  19  12   0     5.570    10.850  9999.000    14.648     4.150
2005   2  19  15   0     5.440    10.740  9999.000    14.340   359.561
2005   2  19  18   0     5.300    10.690  9999.000    14.070     0.041
2005   2  19  21   0     5.200    10.750  9999.000    12.970     0.133
2005   2  20   0   0     5.020    10.870  9999.000    12.509     5.551
2005   2  20   3   0     4.910    10.950  9999.000    10.522    13.297
2005   2  20   6   0     5.000    10.910  9999.000    13.071    14.759
2005   2  20   9   0     5.010    10.860  9999.000    13.885     9.367
2005   2  20  12   0     4.690    10.850  9999.000    13.451     9.154
2005   2  20  15   0     4.300    10.800  9999.000    10.110    11.988
2005   2  20  18   0     3.960    10.730  9999.000    10.334    19.680
2005   2  20  21   0     3.640    10.620  9999.000     9.812    32.556
2005   2  21   0   0     3.340    10.390  9999.000     8.720    38.013
2005   2  21   3   0     3.070    10.140  9999.000     6.961    46.630
2005   2  21   6   0     2.820    10.050  9999.000     7.896    54.901
2005   2  21   9   0     2.620    10.010  9999.000     6.940    59.999
2005   2  21  12   0     2.440     9.950  9999.000     6.108    67.676
2005   2  21  15   0     2.250     9.860  9999.000     4.546    82.797
2005   2  21  18   0     2.060     9.750  9999.000     3.770   107.281
2005   2  21  21   0     1.870     9.610  9999.000     2.687   113.703
2005   2  22   0   0     1.710     9.170  9999.000     2.302    82.011
2005   2  22   3   0     1.570     8.950  9999.000     4.335    77.342
2005   2  22   6   0     1.500     8.810  9999.000     7.026    62.815
2005   2  22   9   0     1.580     8.540  9999.000     9.642    62.850
2005   2  22  12   0     1.850     5.300  9999.000    10.929    58.317
2005   2  22  15   0     2.060     5.980  9999.000    11.216    49.194
2005   2  22  18   0     2.050     6.410  9999.000     9.216    58.173
2005   2  22  21   0     1.940     6.720  9999.000     7.443    65.639
2005   2  23   0   0     1.810     6.940  9999.000     4.930    78.417
2005   2  23   3   0     1.680     6.970  9999.000     6.771    90.931
2005   2  23   6   0     1.630     6.990  9999.000     6.664   101.512
2005   2  23   9   0     1.590     6.940  9999.000     6.731   125.201
2005   2  23  12   0     1.450     6.770  9999.000     4.189   129.771
2005   2  23  15   0     1.270     6.460  9999.000     4.193   135.676
2005   2  23  18   0     1.110     6.380  9999.000     3.710    82.722
2005   2  23  21   0     0.990    13.160  9999.000     4.411    66.341
2005   2  24   0   0     0.920    13.000  9999.000     4.552    56.834
2005   2  24   3   0     0.920    12.800  9999.000     6.383    59.498
2005   2  24   6   0     0.960    12.490  9999.000     5.686    55.388
2005   2  24   9   0     1.090    12.280  9999.000     7.987    58.778
2005   2  24  12   0     1.190    12.160  9999.000     7.908    50.027
2005   2  24  15   0     1.220    12.140  9999.000     6.948    59.560
2005   2  24  18   0     1.220    12.260  9999.000     6.756    55.981
2005   2  24  21   0     1.190    12.860  9999.000     7.011    46.907
2005   2  25   0   0     1.070    13.040  9999.000     4.456    19.126
2005   2  25   3   0     0.940    13.060  9999.000     2.693   351.027
2005   2  25   6   0     0.940    12.970  9999.000     4.069    11.338
2005   2  25   9   0     1.030    12.790  9999.000     8.379    21.052
2005   2  25  12   0     1.040    12.280  9999.000     7.678    32.013
2005   2  25  15   0     1.090    12.060  9999.000     7.967    41.795
2005   2  25  18   0     1.270     4.290  9999.000     9.922    44.224
2005   2  25  21   0     1.650     4.740  9999.000    12.028    44.427
2005   2  26   0   0     2.030     5.310  9999.000    12.520    46.489
2005   2  26   3   0     2.240     5.790  9999.000    10.600    44.732
2005   2  26   6   0     2.390     6.250  9999.000    11.217    43.844
2005   2  26   9   0     2.630     6.870  9999.000    11.316    38.794
2005   2  26  12   0     2.760     7.530  9999.000    11.546    43.175
2005   2  26  15   0     2.800     8.310  9999.000     9.156    48.808
2005   2  26  18   0     2.820     9.090  9999.000     8.941    52.361
2005   2  26  21   0     2.800     9.690  9999.000     7.500    53.512
2005   2  27   0   0     2.740     9.990  9999.000     3.740    49.881
2005   2  27   3   0     2.640    10.130  9999.000     0.990     1.157
2005   2  27   6   0     2.490    10.160  9999.000     2.138   275.097
2005   2  27   9   0     2.330    10.120  9999.000     3.355   341.943
2005   2  27  12   0     2.180    10.050  9999.000     4.833   342.540
2005   2  27  15   0     2.020     9.970  9999.000     4.547   293.182
2005   2  27  18   0     1.870     9.900  9999.000     6.244   286.084
2005   2  27  21   0     1.740     9.800  9999.000     6.039   283.599
2005   2  28   0   0     1.650     9.650  9999.000     6.399   278.991
2005   2  28   3   0     1.660     9.410  9999.000     5.413   293.866
2005   2  28   6   0     1.870     9.290  9999.000     8.038   331.299
2005   2  28   9   0     2.110     6.010  9999.000     8.741   351.712
2005   2  28  12   0     2.170     6.740  9999.000     8.212     4.190
2005   2  28  15   0     2.160     6.970  9999.000     6.001     0.859
2005   2  28  18   0     2.120     7.030  9999.000     5.300   341.633
2005   2  28  21   0     2.100     6.950  9999.000     7.598   342.853
2005   3   1   0   0     2.050     6.920   339.610     2.931   105.838
2005   3   1   3   0     2.030     6.850   350.040    12.248    60.400
2005   3   1   6   0     2.450     6.740    18.870    11.127    46.566
2005   3   1   9   0     2.780     7.400    23.500    10.201    39.511
2005   3   1  12   0     2.650     7.630    22.770     9.219    36.087
2005   3   1  15   0     2.310     7.560    18.040     5.791    40.097
2005   3   1  18   0     1.990     7.370     9.890     5.567    48.204
2005   3   1  21   0     1.750     7.100    14.680     5.117    42.545
2005   3   2   0   0     1.550     8.620   336.600     1.016   259.796
2005   3   2   3   0     1.600     8.540   331.370     2.876   242.900
2005   3   2   6   0     2.100     9.900   310.730     0.982    14.744
2005   3   2   9   0     2.830    10.690   316.780     1.765   348.563
2005   3   2  12   0     3.720    11.210   328.630     2.161   308.991
2005   3   2  15   0     4.440    11.760   336.360     3.866    12.095
2005   3   2  18   0     4.860    11.890   340.860     7.373     9.603
2005   3   2  21   0     4.950    11.780   344.390    10.398    15.908
2005   3   3   0   0     4.630    11.430   346.430    11.183     4.410
2005   3   3   3   0     4.240    11.030   350.060     6.860   349.247
2005   3   3   6   0     3.930    10.920   354.420     7.129   302.687
2005   3   3   9   0     3.610    10.870   359.030     6.380   269.461
2005   3   3  12   0     3.230    10.770     2.570     8.327   250.716
2005   3   3  15   0     2.880    10.540     4.260     9.388   226.856
2005   3   3  18   0     3.110    10.160     6.770    17.431   220.067
2005   3   3  21   0     3.270     6.640   262.200    16.199   222.148
2005   3   4   0   0     3.210     7.030   273.740     7.951   269.063
2005   3   4   3   0     3.150     7.440   287.280    11.243   314.712
2005   3   4   6   0     3.180     7.510   293.700    12.943   323.768
2005   3   4   9   0     3.250     7.890   300.140     9.573   316.990
2005   3   4  12   0     3.570     8.940   301.240     5.981   298.022
2005   3   4  15   0     4.300     9.930   299.520     4.418   306.533
2005   3   4  18   0     4.820    10.850   302.600     6.379   303.167
2005   3   4  21   0     4.660    11.050   305.810     5.165     2.552
2005   3   5   0   0     4.500    11.240   307.110     7.094    37.209
2005   3   5   3   0     4.300    11.410   308.930     5.890    62.826
2005   3   5   6   0     3.940    11.240   311.570     7.099    41.459
2005   3   5   9   0     3.600    11.020   314.200     4.874    36.071
2005   3   5  12   0     3.330    10.780   317.920     3.628    24.941
2005   3   5  15   0     3.200    10.340   323.890     1.622   318.249
2005   3   5  18   0     3.110     9.900   328.110     3.219   256.525
2005   3   5  21   0     2.900     9.380   333.730     3.767   302.973
2005   3   6   0   0     2.620     9.020   336.170     5.717   310.460
2005   3   6   3   0     2.330     8.690   336.260     7.685   289.142
2005   3   6   6   0     2.130     8.250   341.340     8.378   286.575
2005   3   6   9   0     2.070     8.030   338.550     9.403   292.775
2005   3   6  12   0     2.230     7.320   328.180     8.846   302.864
2005   3   6  15   0     2.420     7.420   325.510     9.415   306.273
2005   3   6  18   0     2.570     7.560   324.860     8.330   314.416
2005   3   6  21   0     2.640     7.690   325.170     9.697   326.867
2005   3   7   0   0     2.610     8.110   327.030     9.401   336.025
2005   3   7   3   0     2.540     8.270   326.050     9.341   317.256
